,i,j,Lon,Lat,SL,UC,Code,Error
26463377,3378,2950,112.583333333333,-8.31666666666666,-103.387328073761,-100.758088073763,13,212
26463378,3379,2950,112.616666666667,-8.31666666666666,-100.269084677547,-97.630224677553,13,212
26463379,3380,2950,112.65,-8.31666666666666,-93.659830548314,-91.016660548314,13,212
26463380,3381,2950,112.683333333333,-8.31666666666666,-81.608730674298,-78.966550674325,13,212
26463381,3382,2950,112.716666666667,-8.31666666666666,-66.215068726948,-63.579158726948,13,212
26463382,3383,2950,112.75,-8.31666666666666,-50.210819125545,-47.586409125545,13,212
26463383,3384,2950,112.783333333333,-8.31666666666666,-35.744814235806,-33.137074235827,13,212
26463384,3385,2950,112.816666666667,-8.31666666666666,-27.364053447532,-24.778083447532,13,212
26463385,3386,2950,112.85,-8.31666666666666,-27.077997992127,-24.518807992127,13,212
26463386,3387,2950,112.883333333333,-8.31666666666666,-31.953604178262,-29.42608417825,13,212
26463387,3388,2950,112.916666666667,-8.31666666666666,-35.875622611,-33.384562611,13,212
26463388,3389,2950,112.95,-8.31666666666666,-34.333148006557,-31.883208006557,13,212
26463389,3390,2950,112.983333333333,-8.31666666666666,-26.020182019665,-23.615852019665,13,212
26463390,3391,2950,113.016666666667,-8.31666666666666,-11.889594084796,-9.53521408479601,13,212
26463391,3392,2950,113.05,-8.31666666666666,6.6316300003932,8.93188000035761,13,212
26463392,3393,2950,113.083333333333,-8.31666666666666,28.8438419932549,31.0859819932549,13,212
26463393,3394,2950,113.116666666667,-8.31666666666666,53.2176373819294,55.3978673819294,13,212
26463394,3395,2950,113.15,-8.31666666666666,76.6774914498424,78.804758789537,13,212
26463395,3396,2950,113.183333333333,-8.31666666666666,98.7851604071408,100.87975777621,13,212
26463396,3397,2950,113.216666666667,-8.31666666666666,120.877837272556,122.934891780403,13,212
26463397,3398,2950,113.25,-8.31666666666666,139.752615645477,141.746526998268,13,212
26474177,3378,2949,112.583333333333,-8.28333333333333,-48.492072326042,-46.200382326054,13,212
26474178,3379,2949,112.616666666667,-8.28333333333333,-40.217529049517,-37.909109049531,13,212
26474179,3380,2949,112.65,-8.28333333333333,-31.869024975677,-29.549084975677,13,212
26474180,3381,2949,112.683333333333,-8.28333333333333,-20.301881251198,-17.975631251224,13,212
26474181,3382,2949,112.716666666667,-8.28333333333333,-4.469257309098,-2.14192730909799,13,212
26474182,3383,2949,112.75,-8.28333333333333,11.8406288541863,14.1638688541863,13,212
26474183,3384,2949,112.783333333333,-8.28333333333333,24.6371663961216,26.9511863961062,13,212
26474184,3385,2949,112.816666666667,-8.28333333333333,27.859782143709,30.159502143709,13,212
26474185,3386,2949,112.85,-8.28333333333333,18.8896073643699,21.1700173643699,13,212
26474186,3387,2949,112.883333333333,-8.28333333333333,1.396404967823,3.65259496786001,13,212
26474187,3388,2949,112.916666666667,-8.28333333333333,-17.919819540996,-15.692649540996,13,212
26474188,3389,2949,112.95,-8.28333333333333,-34.089299707372,-31.895849707372,13,212
26474189,3390,2949,112.983333333333,-8.28333333333333,-42.302446456499,-40.147276456499,13,212
26474190,3391,2949,113.016666666667,-8.28333333333333,-38.097861024264,-35.985391024264,13,212
26474191,3392,2949,113.05,-8.28333333333333,-21.593414179341,-19.527894179379,13,212
26474192,3393,2949,113.083333333333,-8.28333333333333,2.620853114602,4.63533311460201,13,212
26474193,3394,2949,113.116666666667,-8.28333333333333,28.1986152390688,30.1581552390688,13,212
26474194,3395,2949,113.15,-8.28333333333333,50.980613470365,52.8815034703278,13,212
26474195,3396,2949,113.183333333333,-8.28333333333333,72.5011148785296,74.3398248785296,13,212
26474196,3397,2949,113.216666666667,-8.28333333333333,93.7919440776448,95.5651740776448,13,212
26474197,3398,2949,113.25,-8.28333333333333,110.518876336382,112.223526336359,13,212
26484977,3378,2948,112.583333333333,-8.25,3.186097730442,5.13735773043101,13,212
26484978,3379,2948,112.616666666667,-8.25,11.4935979967773,13.468677996761,13,212
26484979,3380,2948,112.65,-8.25,20.5732384750233,22.5670084750233,13,212
26484980,3381,2948,112.683333333333,-8.25,31.6548243141769,33.6621543141533,13,212
26484981,3382,2948,112.716666666667,-8.25,47.2050833342024,49.2208533342024,13,212
26484982,3383,2948,112.75,-8.25,63.7680322072574,65.7871122072574,13,212
26484983,3384,2948,112.783333333333,-8.25,74.8118515381483,76.8291415381379,13,212
26484984,3385,2948,112.816666666667,-8.25,73.1490326482845,75.1594826482845,13,212
26484985,3386,2948,112.85,-8.25,55.4613631447851,57.4599731447851,13,212
26484986,3387,2948,112.883333333333,-8.25,27.8808856585387,29.8627456585936,13,212
26484987,3388,2948,112.916666666667,-8.25,-0.695494538825002,1.26477546117501,13,212
26484988,3389,2948,112.95,-8.25,-29.224844565156,-27.290884565156,13,212
26484989,3390,2948,112.983333333333,-8.25,-53.338367667977,-51.435337667977,13,212
26484990,3391,2948,113.016666666667,-8.25,-60.603259330241,-58.735639330241,13,212
26484991,3392,2948,113.05,-8.25,-47.933945684864,-46.106065684902,13,212
26484992,3393,2948,113.083333333333,-8.25,-24.279426297419,-22.495476297419,13,212
26484993,3394,2948,113.116666666667,-8.25,0.525684397345003,2.26168439734499,13,212
26484994,3395,2948,113.15,-8.25,21.3322758451182,23.016505845086,13,212
26484995,3396,2948,113.183333333333,-8.25,38.2110964553119,39.8398964553119,13,212
26484996,3397,2948,113.216666666667,-8.25,53.6346229201591,55.2045429201591,13,212
26484997,3398,2948,113.25,-8.25,66.9168478819452,68.4246478819256,13,212
26495777,3378,2947,112.583333333333,-8.21666666666667,24.4917973637053,26.1009073637161,13,212
26495778,3379,2947,112.616666666667,-8.21666666666667,23.3809227050848,25.0208627050804,13,212
26495779,3380,2947,112.65,-8.21666666666667,30.2621455929764,31.9279055929764,13,212
26495780,3381,2947,112.683333333333,-8.21666666666667,44.4541457396535,46.1406957396225,13,212
26495781,3382,2947,112.716666666667,-8.21666666666667,64.0725584235608,65.7748584235608,13,212
26495782,3383,2947,112.75,-8.21666666666667,82.897890806377,84.610850806377,13,212
26495783,3384,2947,112.783333333333,-8.21666666666667,93.2423124797823,94.960902479775,13,212
26495784,3385,2947,112.816666666667,-8.21666666666667,89.5715048771918,91.2906848771918,13,212
26495785,3386,2947,112.85,-8.21666666666667,69.284722036434,70.999522036434,13,212
26495786,3387,2947,112.883333333333,-8.21666666666667,40.9120990845502,42.6175890846025,13,212
26495787,3388,2947,112.916666666667,-8.21666666666667,15.767418433259,17.458758433259,13,212
26495788,3389,2947,112.95,-8.21666666666667,-10.265778687497,-8.59334868749698,13,212
26495789,3390,2947,112.983333333333,-8.21666666666667,-37.670755159011,-36.021905159011,13,212
26495790,3391,2947,113.016666666667,-8.21666666666667,-51.176858640881,-49.556118640881,13,212
26495791,3392,2947,113.05,-8.21666666666667,-45.732155088028,-44.143945088051,13,212
26495792,3393,2947,113.083333333333,-8.21666666666667,-31.131648396641,-29.580238396641,13,212
